,Unnamed: 0,MC_frame,rmf_frame_index,Total_Score,XLs_adh,XLs_bs3dss,XLs_dmtmm,XLs_psi_adh,XLs_psi_bs3dss,XLs_psi_dmtmm,CR_sum,EV_sum,GaussianEMRestraint_None,GaussianEMRestraint_None_CCC,GaussianEMRestraint_sigma_None,traj,rmf3_file,XLs_sum,half,cluster,frame_RMF3
16,8279,8279,5188,460.524883953248,2.3917484330243197,338.869896036944,28.4501846341812,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,23.3956473667067,106.320306616565,0.35162758791295395,1,run_3,run_3//output//rmfs//7.rmf3,328.122998270553,A,2,h1_run_3_8279.rmf3
17,9041,9041,1458,460.575328740212,3.50080225073061,335.006474964818,29.4936014492089,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.002396363287167,24.5919747372602,108.690050347064,0.34341282348125207,1,run_31,run_31//output//rmfs//7.rmf3,326.412047831161,A,2,h1_run_31_9041.rmf3
20,8394,8394,5303,460.973117358738,2.40352922299374,341.113370641317,25.873651416212898,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.850024979789989,22.613454333972,108.568599978937,0.34374804512431206,1,run_3,run_3//output//rmfs//7.rmf3,327.801720446927,A,2,h1_run_3_8394.rmf3
21,9998,9998,5111,460.984743689724,3.5629943367233996,332.782997051709,30.767390251701197,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,24.4690544074897,108.84097289459801,0.343025882389782,1,run_22,run_22//output//rmfs//4.rmf3,325.52455080653704,A,2,h1_run_22_9998.rmf3
29,8765,8765,5674,461.61688049984,2.3766159908817004,333.48814427080504,32.030646493034396,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,23.3195830024949,108.177625125557,0.34512131946221003,1,run_3,run_3//output//rmfs//7.rmf3,326.306575921125,A,2,h1_run_3_8765.rmf3
30,9146,9146,6055,461.73735599728303,2.44137591779983,338.716150380337,30.4683286940009,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0581779903914,24.306796840988003,107.01330708669701,0.34921355909959495,1,run_3,run_3//output//rmfs//7.rmf3,330.037024158541,A,2,h1_run_3_9146.rmf3
38,9648,9648,4767,461.985020317016,2.02123646456397,334.332385403974,30.269955883920602,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,25.326055188188896,108.237471083438,0.345115021592334,1,run_22,run_22//output//rmfs//4.rmf3,325.034746918862,A,2,h1_run_22_9648.rmf3
45,8996,8996,3685,462.166488914141,2.37468875275687,344.33773236071,26.9218515162364,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,20.3429122134953,108.173482925751,0.3449973773264389,1,run_40,run_40//output//rmfs//7.rmf3,332.045441796107,A,2,h1_run_40_8996.rmf3
46,8931,8931,5840,462.186326137776,2.4001169737120898,338.340083568026,33.7680823566182,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,18.8350313475285,108.472058902922,0.344124969077555,1,run_3,run_3//output//rmfs//7.rmf3,332.91945206476004,A,2,h1_run_3_8931.rmf3
49,9867,9867,4986,462.27537165357694,2.0417174681971,330.884800248525,32.9721197790025,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,25.802646399493298,108.671482233438,0.343522398851636,1,run_22,run_22//output//rmfs//4.rmf3,324.309806662128,A,2,h1_run_22_9867.rmf3
50,9350,9350,6259,462.34958708644996,2.30805277460454,333.772112723696,30.215550938918298,-13.862943611198899,-13.862943611198899,-13.862943611198899,1.25719306881693,26.720561159535,108.757950240517,0.343313725503548,1,run_3,run_3//output//rmfs//7.rmf3,324.706885603622,A,2,h1_run_3_9350.rmf3
51,9347,9347,6256,462.350715494166,2.38762565121665,335.079211541608,32.8073182051926,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,22.247928147990102,108.111392841768,0.34555443415571196,1,run_3,run_3//output//rmfs//7.rmf3,328.68532456442,A,2,h1_run_3_9347.rmf3
52,9349,9349,6258,462.43150321829,2.30722813117844,333.330917397813,30.7663130872657,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.040017000180757004,25.9019439680231,108.75881970559999,0.34331222708196996,1,run_3,run_3//output//rmfs//7.rmf3,324.81562778266004,A,2,h1_run_3_9349.rmf3
56,9089,9089,556,462.577655914001,2.38798961265573,338.328986521728,29.2222851221487,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.134843091120671,23.5496495588283,108.485785419785,0.34442799612477804,1,run_37,run_37//output//rmfs//7.rmf3,328.350430422935,A,2,h1_run_37_9089.rmf3
58,9661,9661,4780,462.662811092359,3.4550517783290102,340.845741902288,30.279774775770196,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,19.808475559100803,108.480131749199,0.344325846016234,1,run_22,run_22//output//rmfs//4.rmf3,332.99173762278997,A,2,h1_run_22_9661.rmf3
59,9602,9602,4721,462.82105246365,2.04572528313465,330.638942565236,32.8288343336167,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.048379923911269995,25.963765407619,108.71963494758499,0.3434371907987411,1,run_22,run_22//output//rmfs//4.rmf3,323.92467134839,A,2,h1_run_22_9602.rmf3
64,9723,9723,4842,463.046892761861,2.00143496066143,335.099615341135,29.395229679804697,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,28.8841147866437,108.571925340804,0.343885437074082,1,run_22,run_22//output//rmfs//4.rmf3,324.907449148004,A,2,h1_run_22_9723.rmf3
66,9663,9663,4782,463.138050171152,3.2219208546256604,335.34327139220903,31.0390891050071,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.231948227343606,22.800099487034398,106.81399368775499,0.3500757509311239,1,run_22,run_22//output//rmfs//4.rmf3,328.015450518245,A,2,h1_run_22_9663.rmf3
68,9629,9629,4748,463.228496665108,2.0964295528928,327.968885384919,33.9732026800698,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,26.7707012850562,108.490531108754,0.34423551044436,1,run_22,run_22//output//rmfs//4.rmf3,322.449686784285,A,2,h1_run_22_9629.rmf3
70,8385,8385,5294,463.38031024952204,2.46691880385196,338.939084954228,23.750230263842603,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,28.1421009522722,108.033578759637,0.34562341110981104,1,run_3,run_3//output//rmfs//7.rmf3,323.567403188326,A,2,h1_run_3_8385.rmf3
71,8760,8760,5669,463.39956179242597,2.67860741527457,338.303872260484,28.998511744134998,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.004749235653109,26.0587561987542,106.894591350679,0.34958005769044803,1,run_3,run_3//output//rmfs//7.rmf3,328.392160586297,A,2,h1_run_3_8760.rmf3
73,9673,9673,4792,463.45784459618204,2.67519296404941,337.81427462570304,30.1010715714503,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.059053018801665,23.313255702523797,106.18398509192801,0.352249030930179,1,run_22,run_22//output//rmfs//4.rmf3,329.001708327606,A,2,h1_run_22_9673.rmf3
78,9854,9854,4973,463.57584952007204,3.45196499807999,333.787370739473,30.0043354548556,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,21.670906325296603,108.67537163838101,0.34352372425315,1,run_22,run_22//output//rmfs//4.rmf3,325.654840358812,A,2,h1_run_22_9854.rmf3
