,Unnamed: 0,MC_frame,rmf_frame_index,Total_Score,XLs_adh,XLs_bs3dss,XLs_dmtmm,XLs_psi_adh,XLs_psi_bs3dss,XLs_psi_dmtmm,CR_sum,EV_sum,GaussianEMRestraint_None,GaussianEMRestraint_None_CCC,GaussianEMRestraint_sigma_None,traj,rmf3_file,XLs_sum,half,cluster,frame_RMF3
0,6716,6716,4691,455.01194449924003,3.34815929882146,332.659372527756,30.2535041962287,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.15677477233707998,20.518017822906998,108.815832166831,0.343143181053764,1,run_29,run_29//output//rmfs//2.rmf3,324.67220518921,B,2,h2_run_29_6716.rmf3
5,6711,6711,4686,457.85981937367205,3.17543679903866,338.100526983051,29.0997211054366,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,18.667094369556104,108.582026917668,0.343945677534457,1,run_29,run_29//output//rmfs//2.rmf3,328.78685405392997,B,2,h2_run_29_6711.rmf3
7,6902,6902,4875,458.805794435198,3.44085666212804,334.48756746924,27.124612968296198,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,25.798187664650698,108.165635580871,0.34541606007624204,1,run_29,run_29//output//rmfs//2.rmf3,323.464206266067,B,2,h2_run_29_6902.rmf3
14,6789,6789,4762,459.51470991187404,3.17139262128277,333.303681825774,30.6235262181904,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.050665734648833005,23.753018887829104,107.969488092367,0.34598154395617003,1,run_29,run_29//output//rmfs//2.rmf3,325.509769831651,B,2,h2_run_29_6789.rmf3
22,6371,6371,4346,460.667569433799,3.20261202726881,335.49767506064,26.1976543656238,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,22.607136547621497,108.383938126093,0.344684458982755,1,run_29,run_29//output//rmfs//2.rmf3,323.309110619936,B,2,h2_run_29_6371.rmf3
23,8785,8785,6746,460.717182751566,3.2336558058368303,336.564290676755,28.1679735537718,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.024971457149667003,22.0650478988655,108.007679122491,0.345938235148596,1,run_29,run_29//output//rmfs//2.rmf3,326.37708920276697,B,2,h2_run_29_8785.rmf3
26,9519,9519,7480,461.102447408209,3.5761767904276205,327.587631057081,32.5537921188199,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.01344713926446,26.870985839872898,108.790296834366,0.34326154336677,1,run_29,run_29//output//rmfs//2.rmf3,322.12876913273203,B,2,h2_run_29_9519.rmf3
32,6788,6788,4761,461.282946128256,3.3660421158995897,339.91906320668204,26.7682466153022,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.5560988213800301,21.9446851041411,108.02779831124201,0.34578793837861205,1,run_29,run_29//output//rmfs//2.rmf3,328.464521104287,B,2,h2_run_29_6788.rmf3
38,6807,6807,4780,461.740702514656,3.32690063863958,336.113623484165,29.4410045438801,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,22.890338663845803,107.145166121965,0.34889049867578,1,run_29,run_29//output//rmfs//2.rmf3,327.29269783308797,B,2,h2_run_29_6807.rmf3
43,8685,8685,6646,461.93583749539596,3.11086201423589,330.646044866229,28.7558073417766,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,29.3259969822261,108.78972495038099,0.343315596983276,1,run_29,run_29//output//rmfs//2.rmf3,320.923883388645,B,2,h2_run_29_8685.rmf3
44,8629,8629,6590,461.966259809218,2.989788992659,334.754581164759,29.9803302498138,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.535541194794389,24.022017626436895,107.499192495047,0.34767316453675606,1,run_29,run_29//output//rmfs//2.rmf3,326.135869573635,B,2,h2_run_29_8629.rmf3
47,9531,9531,7492,462.04579956722,3.73896468756121,336.06951472775,34.8544154273811,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,18.545233418327502,107.33903337777201,0.34828192624606696,1,run_29,run_29//output//rmfs//2.rmf3,333.074064009096,B,2,h2_run_29_9531.rmf3
53,6927,6927,4900,462.26767576305,3.6919173212314504,329.796212139173,33.2263349603227,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,27.8875934487151,108.55013843490102,0.344046871177802,1,run_29,run_29//output//rmfs//2.rmf3,325.125633587131,B,2,h2_run_29_6927.rmf3
54,8683,8683,6644,462.319238218055,3.07211286430943,332.959996049481,29.208864622891898,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,26.099201568765398,108.730665920368,0.343506900725633,1,run_29,run_29//output//rmfs//2.rmf3,323.652142703086,B,2,h2_run_29_8683.rmf3
58,9647,9647,7608,462.506534891435,3.30825763648084,332.392831071249,27.7872236780651,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,26.3825621957062,108.248854163823,0.34510641520887003,1,run_29,run_29//output//rmfs//2.rmf3,321.899481552198,B,2,h2_run_29_9647.rmf3
60,6751,6751,4724,462.531281832565,3.26086532876374,336.467066498766,29.948904636979105,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.31901564432242496,25.419297500857898,107.618938933798,0.347256308390931,1,run_29,run_29//output//rmfs//2.rmf3,328.088005630912,B,2,h2_run_29_6751.rmf3
63,9539,9539,7500,462.717563553725,3.4114032464465898,329.168216003592,30.392674100727202,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,26.7894500581706,108.63579226839501,0.343775667597778,1,run_29,run_29//output//rmfs//2.rmf3,321.383462517169,B,2,h2_run_29_9539.rmf3
64,6888,6888,4861,462.73193951822503,3.39154792300632,333.889554395247,27.422634119974102,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.5468292231976161,26.9499456636701,108.29680127556401,0.34497546852825106,1,run_29,run_29//output//rmfs//2.rmf3,323.114905604631,B,2,h2_run_29_6888.rmf3
66,6939,6939,4912,462.77734140095805,3.8200934002081,333.025499989044,32.376223782044704,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.8105754494796179,22.8985697314527,106.63982781202101,0.350712588252035,1,run_29,run_29//output//rmfs//2.rmf3,327.63298633770097,B,2,h2_run_29_6939.rmf3
70,8652,8652,6613,462.897664749897,2.7226816078292995,333.066451583993,31.319647679772,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,26.131309762753002,107.654382672297,0.347188489324537,1,run_29,run_29//output//rmfs//2.rmf3,325.519950037998,B,2,h2_run_29_8652.rmf3
76,7970,7970,5931,463.003312863037,3.53576938660518,336.547120523036,28.586594694316503,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.008167260231061998,25.927029497418605,108.44105487611799,0.34428740011426395,1,run_29,run_29//output//rmfs//2.rmf3,327.080653770361,B,2,h2_run_29_7970.rmf3
77,6905,6905,4878,463.03842832083296,3.54394241766792,334.00493661274,29.7007500434493,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.20769085587337,24.441877985485302,107.735297474271,0.34691416518072804,1,run_29,run_29//output//rmfs//2.rmf3,325.66079824026,B,2,h2_run_29_6905.rmf3
79,6752,6752,4725,463.076539423417,3.32896381589705,334.960500264133,30.0899045064324,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,27.0841237504467,106.92323326273701,0.34969099027329,1,run_29,run_29//output//rmfs//2.rmf3,326.79053775286496,B,2,h2_run_29_6752.rmf3
81,8684,8684,6645,463.084765124302,3.14175399686306,335.193221452342,29.360362227339696,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,21.8872020597936,108.69035148673201,0.343662482992902,1,run_29,run_29//output//rmfs//2.rmf3,326.106506842948,B,2,h2_run_29_8684.rmf3
84,6212,6212,4187,463.26143303684995,3.35760329494594,337.82075609544603,29.194904762740602,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,22.4628115323167,108.548385237085,0.34405607405245603,1,run_29,run_29//output//rmfs//2.rmf3,328.784433319536,B,2,h2_run_29_6212.rmf3
85,6762,6762,4735,463.303279917782,3.4976991454591397,332.866923568423,30.7698343748724,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.489519907731654,27.2509067670509,108.820087560095,0.34312341411448904,1,run_29,run_29//output//rmfs//2.rmf3,325.545626255158,B,2,h2_run_29_6762.rmf3
86,8329,8329,6290,463.31958094237297,3.09471196525509,335.321626969673,29.3719976006537,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.45972983583611804,23.974298228845,107.97210526286,0.34603681780009193,1,run_29,run_29//output//rmfs//2.rmf3,326.199505701986,B,2,h2_run_29_8329.rmf3
96,8269,8269,6230,463.548172516769,3.5930181613621097,336.946499734361,27.8295573879648,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.010327629482257,29.174191430927202,107.512162898081,0.34755057890399704,1,run_29,run_29//output//rmfs//2.rmf3,326.780244450091,B,2,h2_run_29_8269.rmf3
102,7969,7969,5930,463.60938778190905,3.5990353240160697,340.109840495481,30.2338194681042,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0852250792198,20.4618675608623,108.32555804001301,0.344681024887885,1,run_29,run_29//output//rmfs//2.rmf3,332.353864454004,B,2,h2_run_29_7969.rmf3
105,6079,6079,4054,463.664843235775,3.03655828205442,333.862292107114,31.621512922013398,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.36412781737320704,26.489316973909002,106.505147679592,0.351106666945008,1,run_29,run_29//output//rmfs//2.rmf3,326.931532477585,B,2,h2_run_29_6079.rmf3
109,6942,6942,4915,463.771988169414,3.77607091458951,340.18446356758596,28.4497664049322,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.09972304184783601,22.289988574651197,107.309401208716,0.348386951504651,1,run_29,run_29//output//rmfs//2.rmf3,330.821470053511,B,2,h2_run_29_6942.rmf3
115,9731,9731,7692,463.901090879539,3.3390524301166997,340.36473543968,31.0844361341533,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.11215920350277199,20.1378652501873,108.70353219959401,0.34352825245312296,1,run_29,run_29//output//rmfs//2.rmf3,333.199393170353,B,2,h2_run_29_9731.rmf3
